City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Fairview,US,2022-04-17 22:51:44,40.8126,-73.999,49.48,38,95,5.99
265,Bengkulu,ID,2022-04-17 22:51:33,-3.8004,102.2655,76.08,90,96,3.78
266,Sederot,IL,2022-04-17 22:51:44,31.525,34.5969,88.3,15,6,20.15
267,Yatou,CN,2022-04-17 22:51:44,37.15,122.3833,53.92,51,100,6.17
268,Constitucion,CL,2022-04-17 22:51:45,-35.3333,-72.4167,52.03,94,46,5.12
269,Parli,IN,2022-04-17 22:51:45,18.8486,76.5297,86.29,38,72,11.1
270,Saskylakh,RU,2022-04-17 22:51:45,71.9167,114.0833,28.09,97,100,12.5
271,Saint-Augustin,CA,2022-04-17 22:52:46,51.226,-58.6502,37.2,98,100,18.68
272,Lons-Le-Saunier,FR,2022-04-17 22:52:46,46.75,5.75,43.92,70,4,4.83
273,Buta,CD,2022-04-17 22:52:46,2.7858,24.73,69.91,96,98,1.1
274,College,US,2022-04-17 22:52:47,64.8569,-147.8028,39.22,24,0,11.5
275,Kangaatsiaq,GL,2022-04-17 22:48:07,68.3065,-53.4641,6.28,95,97,6.11
276,Le Vauclin,MQ,2022-04-17 22:52:47,14.5452,-60.8388,78.85,73,20,13.8
277,Sehithwa,BW,2022-04-17 22:52:47,-20.4667,22.7167,68.5,78,70,6.04
278,Sarab,IR,2022-04-17 22:52:48,38.6066,44.9883,52.0,39,53,1.88
279,Bandarban,BD,2022-04-17 22:52:48,22.1965,92.2262,72.48,89,38,1.39
280,Wukari,NG,2022-04-17 22:52:48,7.85,9.7833,81.14,72,99,7.05
281,Sao Jose Da Coroa Grande,BR,2022-04-17 22:52:49,-8.8978,-35.1478,78.55,83,43,8.43
282,Magalia,US,2022-04-17 22:52:49,39.8121,-121.5783,66.51,30,56,8.16
283,Samarai,PG,2022-04-17 22:52:49,-10.6167,150.6667,82.22,78,100,10.96
