City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
216,Lasa,IT,46.6166,10.7002,35.37,70,3,3.58,clear sky
217,Leku,ET,6.8667,38.45,59.7,93,100,0.69,overcast clouds
218,Gazli,UZ,40.1333,63.45,62.37,58,100,19.75,overcast clouds
219,Atar,MR,20.5169,-13.0499,84.83,12,100,6.02,overcast clouds
220,Bull Savanna,JM,17.8868,-77.5902,73.6,81,0,6.08,clear sky
221,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,8.05,overcast clouds
222,Karratha,AU,-20.7377,116.8463,90.63,30,6,24.16,clear sky
223,San Luis,AR,-33.295,-66.3356,57.07,51,1,7.43,clear sky
224,Victoria Point,AU,-27.5833,153.3,81.45,58,37,5.99,scattered clouds
225,Korla,CN,41.7597,86.1469,62.89,11,0,3.18,clear sky
226,Tasiilaq,GL,65.6145,-37.6368,31.51,95,100,8.3,overcast clouds
227,Port Lincoln,AU,-34.7333,135.8667,61.48,68,100,8.63,moderate rain
228,Teya,RU,60.3778,92.6267,26.04,76,100,10.47,overcast clouds
229,Mahebourg,MU,-20.4081,57.7,76.24,94,75,1.14,thunderstorm with rain
230,Kayes,ML,14.0,-11.0,93.96,10,100,13.51,overcast clouds
231,Jalna,IN,19.8333,75.8833,89.69,20,3,9.62,clear sky
232,Omsukchan,RU,62.5333,155.8,23.68,77,100,1.54,overcast clouds
233,Namibe,AO,-15.1961,12.1522,72.32,77,55,1.03,broken clouds
234,Malkangiri,IN,18.35,81.9,89.71,38,20,4.65,few clouds
235,Kampot,KH,10.6167,104.1833,86.05,61,100,7.02,overcast clouds
236,Te Anau,NZ,-45.4167,167.7167,63.72,52,36,4.45,scattered clouds
237,Virginia Beach,US,36.8529,-75.978,53.02,68,77,3.0,broken clouds
238,Sambava,MG,-14.2667,50.1667,73.94,85,100,8.57,overcast clouds
239,Gibara,CU,21.1097,-76.1317,72.72,86,83,5.59,broken clouds
240,Sisimiut,GL,66.9395,-53.6735,18.19,84,100,4.47,overcast clouds
241,Flin Flon,CA,54.7682,-101.865,21.96,94,97,2.3,overcast clouds
242,Lauria,IT,40.0465,15.8358,42.4,83,100,8.3,overcast clouds
243,Port Hardy,CA,50.6996,-127.4199,50.0,61,100,19.57,overcast clouds
244,Alyangula,AU,-13.8483,136.4192,87.67,62,40,10.36,scattered clouds
245,Biltine,TD,14.5333,20.9167,85.82,35,96,3.67,overcast clouds
246,San Patricio,US,28.017,-97.5169,76.87,85,51,7.54,broken clouds
247,Bethel,US,41.3712,-73.414,42.89,55,0,3.44,clear sky
248,Tecoanapa,MX,16.5167,-98.75,79.25,68,12,5.86,few clouds
